Student ID,Student Name,Total Sessions,Attended,Absent,Late,Attendance %,Avg Score,Report Date
93,Aaron Wallace,0,0,0,0,0%,0,2025-12-12
18,Amanda Robinson,0,0,0,0,0%,0,2025-12-12
88,Andrea Myers,0,0,0,0,0%,0,2025-12-12
48,Anna Flores,0,0,0,0,0%,0,2025-12-12
81,Arthur Foster,0,0,0,0,0%,0,2025-12-12
10,Ashley Thomas,0,0,0,0,0%,0,2025-12-12
28,Barbara Wright,0,0,0,0,0%,0,2025-12-12
34,Betty Hill,0,0,0,0,0%,0,2025-12-12
95,Billy Cole,0,0,0,0,0%,0,2025-12-12
78,Brenda James,0,0,0,0,0%,0,2025-12-12
39,Brian Carter,0,0,0,0,0%,0,2025-12-12
49,Brian Morris,0,0,0,0,0%,0,2025-12-12
97,Bruce Jordan,0,0,0,0,0%,0,2025-12-12
87,Carl Hayes,0,0,0,0,0%,0,2025-12-12
44,Carol Parker,0,0,0,0,0%,0,2025-12-12
58,Carolyn Reed,0,0,0,0,0%,0,2025-12-12
50,Catherine Nguyen,0,0,0,0,0%,0,2025-12-12
23,Charles Walker,0,0,0,0,0%,0,2025-12-12
82,Cheryl Butler,0,0,0,0,0%,0,2025-12-12
70,Christine Sanders,0,0,0,0,0%,0,2025-12-12
7,Christopher Moore,0,0,0,0,0%,0,2025-12-12
13,Daniel Harris,0,0,0,0,0%,0,2025-12-12
5,David Wilson,0,0,0,0,0%,0,2025-12-12
40,Deborah Phillips,0,0,0,0,0%,0,2025-12-12
75,Dennis Henderson,0,0,0,0,0%,0,2025-12-12
98,Diana Owens,0,0,0,0,0%,0,2025-12-12
62,Diane Howard,0,0,0,0,0%,0,2025-12-12
27,Donald King,0,0,0,0,0%,0,2025-12-12
36,Dorothy Campbell,0,0,0,0,0%,0,2025-12-12
37,Edward Mitchell,0,0,0,0,0%,0,2025-12-12
12,Elizabeth White,0,0,0,0,0%,0,2025-12-12
2,Emily Johnson,0,0,0,0,0%,0,2025-12-12
68,Emma Watson,0,0,0,0,0%,0,2025-12-12
63,Eric Ward,0,0,0,0,0%,0,2025-12-12
99,Ethan Reynolds,0,0,0,0,0%,0,2025-12-12
84,Evelyn Russell,0,0,0,0,0%,0,2025-12-12
55,Frank Morgan,0,0,0,0,0%,0,2025-12-12
57,Gary Cooper,0,0,0,0,0%,0,2025-12-12
33,George Nelson,0,0,0,0,0%,0,2025-12-12
71,Gregory Price,0,0,0,0,0%,0,2025-12-12
79,Harold Reyes,0,0,0,0,0%,0,2025-12-12
66,Heather Richardson,0,0,0,0,0%,0,2025-12-12
38,Helen Roberts,0,0,0,0,0%,0,2025-12-12
85,Henry Griffin,0,0,0,0,0%,0,2025-12-12
89,Jack Ford,0,0,0,0,0%,0,2025-12-12
60,Jacqueline Bell,0,0,0,0,0%,0,2025-12-12
