Student ID,Student Name,Total Sessions,Attended,Absent,Late,Attendance %,Avg Score
93,Aaron Wallace,25,25,0,3,100.0%,0
18,Amanda Robinson,25,24,1,5,96.0%,0
88,Andrea Myers,25,25,0,3,100.0%,0
48,Anna Flores,25,25,0,6,100.0%,0
81,Arthur Foster,25,25,0,5,100.0%,0
10,Ashley Thomas,25,25,0,4,100.0%,0
28,Barbara Wright,25,25,0,5,100.0%,0
34,Betty Hill,25,24,1,2,96.0%,0
95,Billy Cole,25,25,0,5,100.0%,0
78,Brenda James,25,25,0,5,100.0%,0
39,Brian Carter,25,24,1,3,96.0%,0
49,Brian Morris,0,0,0,0,0%,0
97,Bruce Jordan,25,25,0,5,100.0%,0
87,Carl Hayes,25,24,1,4,96.0%,0
44,Carol Parker,25,25,0,2,100.0%,0
58,Carolyn Reed,25,25,0,5,100.0%,0
50,Catherine Nguyen,25,25,0,3,100.0%,0
23,Charles Walker,25,25,0,4,100.0%,0
82,Cheryl Butler,25,25,0,4,100.0%,0
70,Christine Sanders,25,24,1,4,96.0%,0
7,Christopher Moore,25,25,0,8,100.0%,0
13,Daniel Harris,25,25,0,4,100.0%,0
5,David Wilson,25,25,0,2,100.0%,0
40,Deborah Phillips,25,25,0,5,100.0%,0
75,Dennis Henderson,25,25,0,7,100.0%,0
98,Diana Owens,25,25,0,3,100.0%,0
62,Diane Howard,25,25,0,5,100.0%,0
27,Donald King,25,25,0,5,100.0%,0
36,Dorothy Campbell,25,25,0,5,100.0%,0
37,Edward Mitchell,25,25,0,5,100.0%,0
12,Elizabeth White,25,25,0,4,100.0%,0
2,Emily Johnson,25,25,0,4,100.0%,0
68,Emma Watson,25,25,0,6,100.0%,0
63,Eric Ward,25,25,0,3,100.0%,0
99,Ethan Reynolds,25,24,1,3,96.0%,0
84,Evelyn Russell,25,25,0,0,100.0%,0
55,Frank Morgan,25,25,0,6,100.0%,0
57,Gary Cooper,25,25,0,5,100.0%,0
33,George Nelson,25,25,0,5,100.0%,0
71,Gregory Price,25,25,0,4,100.0%,0
79,Harold Reyes,25,25,0,5,100.0%,0
66,Heather Richardson,25,25,0,4,100.0%,0
38,Helen Roberts,25,25,0,4,100.0%,0
85,Henry Griffin,25,25,0,3,100.0%,0
89,Jack Ford,25,24,1,5,96.0%,0
60,Jacqueline Bell,25,24,1,2,96.0%,0
11,James Jackson,25,25,0,6,100.0%,0
64,Janet Cox,25,25,0,3,100.0%,0
43,Jason Torres,25,25,0,7,100.0%,0
53,Jeffrey Cook,25,24,1,4,96.0%,0
6,Jennifer Miller,25,25,0,7,100.0%,0
73,Jeremy Barnes,25,24,1,4,96.0%,0
8,Jessica Taylor,25,24,1,7,96.0%,0
86,Joan Diaz,25,25,0,6,100.0%,0
1,John Smith,25,25,0,5,100.0%,0
19,Joseph Clark,25,25,0,2,100.0%,0
76,Judith Coleman,25,25,0,4,100.0%,0
94,Katherine Woods,25,24,1,2,96.0%,0
35,Kenneth Ramirez,25,25,0,9,100.0%,0
45,Kevin Collins,25,25,0,5,100.0%,0
59,Larry Bailey,0,0,0,0,0%,0
16,Laura Garcia,25,25,0,7,100.0%,0
26,Linda Young,25,25,0,2,100.0%,0
96,Lori West,25,25,0,2,100.0%,0
30,Margaret Green,25,25,0,3,100.0%,0
100,Marie Fisher,25,25,0,8,100.0%,0
25,Mark Allen,25,25,0,3,100.0%,0
54,Martha Rogers,25,24,1,5,96.0%,0
9,Matthew Anderson,25,25,0,2,100.0%,0
80,Megan Hughes,25,25,0,7,100.0%,0
3,Michael Brown,25,25,0,2,100.0%,0
14,Michelle Martin,25,25,0,4,100.0%,0
32,Nancy Adams,25,25,0,7,100.0%,0
92,Nicole Sullivan,25,25,0,7,100.0%,0
52,Pamela Rivera,25,25,0,0,100.0%,0
24,Patricia Hall,25,25,0,2,100.0%,0
69,Patrick Brooks,25,24,1,4,96.0%,0
31,Paul Baker,25,25,0,1,100.0%,0
72,Rachel Bennett,25,25,0,4,100.0%,0
67,Raymond Wood,25,25,0,9,100.0%,0
22,Rebecca Lee,25,25,0,2,100.0%,0
15,Robert Thompson,25,24,1,7,96.0%,0
41,Ronald Evans,25,24,1,6,96.0%,0
90,Rose Hamilton,25,25,0,4,100.0%,0
46,Ruth Edwards,25,25,0,4,100.0%,0
4,Sarah Davis,25,25,0,4,100.0%,0
61,Scott Kelly,25,24,1,5,96.0%,0
42,Sharon Turner,25,25,0,4,100.0%,0
20,Stephanie Rodriguez,25,24,1,6,96.0%,0
65,Stephen Diaz,25,24,1,3,96.0%,0
51,Steven Murphy,25,25,0,5,100.0%,0
29,Steven Scott,25,25,0,5,100.0%,0
56,Teresa Peterson,25,24,1,3,96.0%,0
21,Thomas Lewis,25,25,0,2,100.0%,0
47,Timothy Stewart,25,25,0,5,100.0%,0
91,Tyler Graham,25,25,0,1,100.0%,0
74,Victoria Fisher,25,25,0,6,100.0%,0
77,Walter Gray,25,25,0,6,100.0%,0
17,William Martinez,25,25,0,4,100.0%,0
83,Zachary Simmons,25,25,0,7,100.0%,0
