Student ID,Student Name,Total Sessions,Attended,Absent,Late,Attendance %,Avg Score,Report Date
93,Aaron Wallace,5,5,0,0,100.0%,0,2025-11-21
18,Amanda Robinson,5,5,0,0,100.0%,0,2025-11-21
88,Andrea Myers,5,5,0,0,100.0%,0,2025-11-21
48,Anna Flores,5,5,0,1,100.0%,0,2025-11-21
81,Arthur Foster,5,5,0,0,100.0%,0,2025-11-21
10,Ashley Thomas,5,5,0,1,100.0%,0,2025-11-21
28,Barbara Wright,5,5,0,0,100.0%,0,2025-11-21
34,Betty Hill,5,5,0,0,100.0%,0,2025-11-21
95,Billy Cole,5,5,0,0,100.0%,0,2025-11-21
78,Brenda James,5,5,0,0,100.0%,0,2025-11-21
39,Brian Carter,5,4,1,0,80.0%,0,2025-11-21
49,Brian Morris,0,0,0,0,0%,0,2025-11-21
97,Bruce Jordan,5,5,0,0,100.0%,0,2025-11-21
87,Carl Hayes,5,5,0,0,100.0%,0,2025-11-21
44,Carol Parker,5,5,0,0,100.0%,0,2025-11-21
58,Carolyn Reed,5,5,0,0,100.0%,0,2025-11-21
50,Catherine Nguyen,5,5,0,1,100.0%,0,2025-11-21
23,Charles Walker,5,5,0,1,100.0%,0,2025-11-21
82,Cheryl Butler,5,5,0,1,100.0%,0,2025-11-21
70,Christine Sanders,5,5,0,0,100.0%,0,2025-11-21
7,Christopher Moore,5,5,0,0,100.0%,0,2025-11-21
13,Daniel Harris,5,5,0,1,100.0%,0,2025-11-21
5,David Wilson,5,5,0,1,100.0%,0,2025-11-21
40,Deborah Phillips,5,5,0,1,100.0%,0,2025-11-21
75,Dennis Henderson,5,5,0,2,100.0%,0,2025-11-21
98,Diana Owens,5,5,0,0,100.0%,0,2025-11-21
62,Diane Howard,5,5,0,0,100.0%,0,2025-11-21
27,Donald King,5,5,0,2,100.0%,0,2025-11-21
36,Dorothy Campbell,5,5,0,0,100.0%,0,2025-11-21
37,Edward Mitchell,5,5,0,0,100.0%,0,2025-11-21
12,Elizabeth White,5,5,0,1,100.0%,0,2025-11-21
2,Emily Johnson,5,5,0,0,100.0%,0,2025-11-21
68,Emma Watson,5,5,0,3,100.0%,0,2025-11-21
63,Eric Ward,5,5,0,0,100.0%,0,2025-11-21
99,Ethan Reynolds,5,5,0,0,100.0%,0,2025-11-21
84,Evelyn Russell,5,5,0,0,100.0%,0,2025-11-21
55,Frank Morgan,5,5,0,0,100.0%,0,2025-11-21
57,Gary Cooper,5,5,0,1,100.0%,0,2025-11-21
33,George Nelson,5,5,0,1,100.0%,0,2025-11-21
71,Gregory Price,5,5,0,1,100.0%,0,2025-11-21
79,Harold Reyes,5,5,0,2,100.0%,0,2025-11-21
66,Heather Richardson,5,5,0,1,100.0%,0,2025-11-21
38,Helen Roberts,5,5,0,1,100.0%,0,2025-11-21
85,Henry Griffin,5,5,0,0,100.0%,0,2025-11-21
89,Jack Ford,5,5,0,1,100.0%,0,2025-11-21
60,Jacqueline Bell,5,5,0,1,100.0%,0,2025-11-21
11,James Jackson,5,5,0,0,100.0%,0,2025-11-21
64,Janet Cox,5,5,0,1,100.0%,0,2025-11-21
43,Jason Torres,5,5,0,1,100.0%,0,2025-11-21
53,Jeffrey Cook,5,5,0,1,100.0%,0,2025-11-21
6,Jennifer Miller,5,5,0,2,100.0%,0,2025-11-21
73,Jeremy Barnes,5,5,0,1,100.0%,0,2025-11-21
8,Jessica Taylor,5,4,1,2,80.0%,0,2025-11-21
86,Joan Diaz,5,5,0,1,100.0%,0,2025-11-21
1,John Smith,5,5,0,0,100.0%,0,2025-11-21
19,Joseph Clark,5,5,0,0,100.0%,0,2025-11-21
76,Judith Coleman,5,5,0,0,100.0%,0,2025-11-21
94,Katherine Woods,5,5,0,0,100.0%,0,2025-11-21
35,Kenneth Ramirez,5,5,0,1,100.0%,0,2025-11-21
45,Kevin Collins,5,5,0,2,100.0%,0,2025-11-21
59,Larry Bailey,0,0,0,0,0%,0,2025-11-21
16,Laura Garcia,5,5,0,2,100.0%,0,2025-11-21
26,Linda Young,5,5,0,0,100.0%,0,2025-11-21
96,Lori West,5,5,0,0,100.0%,0,2025-11-21
30,Margaret Green,5,5,0,1,100.0%,0,2025-11-21
100,Marie Fisher,5,5,0,2,100.0%,0,2025-11-21
25,Mark Allen,5,5,0,0,100.0%,0,2025-11-21
54,Martha Rogers,5,4,1,1,80.0%,0,2025-11-21
9,Matthew Anderson,5,5,0,0,100.0%,0,2025-11-21
80,Megan Hughes,5,5,0,2,100.0%,0,2025-11-21
3,Michael Brown,5,5,0,0,100.0%,0,2025-11-21
14,Michelle Martin,5,5,0,1,100.0%,0,2025-11-21
32,Nancy Adams,5,5,0,1,100.0%,0,2025-11-21
92,Nicole Sullivan,5,5,0,1,100.0%,0,2025-11-21
52,Pamela Rivera,5,5,0,0,100.0%,0,2025-11-21
24,Patricia Hall,5,5,0,0,100.0%,0,2025-11-21
69,Patrick Brooks,5,5,0,2,100.0%,0,2025-11-21
31,Paul Baker,5,5,0,0,100.0%,0,2025-11-21
72,Rachel Bennett,5,5,0,2,100.0%,0,2025-11-21
67,Raymond Wood,5,5,0,1,100.0%,0,2025-11-21
22,Rebecca Lee,5,5,0,0,100.0%,0,2025-11-21
15,Robert Thompson,5,4,1,0,80.0%,0,2025-11-21
41,Ronald Evans,5,5,0,0,100.0%,0,2025-11-21
90,Rose Hamilton,5,5,0,1,100.0%,0,2025-11-21
46,Ruth Edwards,5,5,0,0,100.0%,0,2025-11-21
4,Sarah Davis,5,5,0,1,100.0%,0,2025-11-21
61,Scott Kelly,5,4,1,2,80.0%,0,2025-11-21
42,Sharon Turner,5,5,0,0,100.0%,0,2025-11-21
20,Stephanie Rodriguez,5,5,0,1,100.0%,0,2025-11-21
65,Stephen Diaz,5,5,0,1,100.0%,0,2025-11-21
51,Steven Murphy,5,5,0,0,100.0%,0,2025-11-21
29,Steven Scott,5,5,0,1,100.0%,0,2025-11-21
56,Teresa Peterson,5,4,1,1,80.0%,0,2025-11-21
21,Thomas Lewis,5,5,0,0,100.0%,0,2025-11-21
47,Timothy Stewart,5,5,0,0,100.0%,0,2025-11-21
91,Tyler Graham,5,5,0,0,100.0%,0,2025-11-21
74,Victoria Fisher,5,5,0,3,100.0%,0,2025-11-21
77,Walter Gray,5,5,0,2,100.0%,0,2025-11-21
17,William Martinez,5,5,0,2,100.0%,0,2025-11-21
83,Zachary Simmons,5,5,0,1,100.0%,0,2025-11-21
