Student ID,Student Name,Total Sessions,Attended,Absent,Late,Attendance %,Avg Score
93,Aaron Wallace,27,27,0,3,100.0%,0
18,Amanda Robinson,27,25,2,6,92.6%,0
88,Andrea Myers,27,27,0,3,100.0%,0
48,Anna Flores,27,27,0,7,100.0%,0
81,Arthur Foster,27,27,0,6,100.0%,0
10,Ashley Thomas,27,27,0,4,100.0%,0
28,Barbara Wright,27,27,0,6,100.0%,0
34,Betty Hill,27,26,1,2,96.3%,0
95,Billy Cole,26,26,0,5,100.0%,0
78,Brenda James,26,26,0,5,100.0%,0
39,Brian Carter,26,25,1,3,96.2%,0
49,Brian Morris,2,2,0,2,100.0%,0
97,Bruce Jordan,27,27,0,5,100.0%,0
87,Carl Hayes,27,26,1,4,96.3%,0
44,Carol Parker,27,27,0,3,100.0%,0
58,Carolyn Reed,27,27,0,6,100.0%,0
50,Catherine Nguyen,27,27,0,4,100.0%,0
23,Charles Walker,26,26,0,4,100.0%,0
82,Cheryl Butler,27,27,0,4,100.0%,0
70,Christine Sanders,27,26,1,4,96.3%,0
7,Christopher Moore,27,27,0,9,100.0%,0
13,Daniel Harris,27,26,1,4,96.3%,0
5,David Wilson,26,26,0,2,100.0%,0
40,Deborah Phillips,27,27,0,6,100.0%,0
75,Dennis Henderson,26,26,0,7,100.0%,0
98,Diana Owens,26,26,0,3,100.0%,0
62,Diane Howard,27,27,0,5,100.0%,0
27,Donald King,25,25,0,5,100.0%,0
36,Dorothy Campbell,26,26,0,5,100.0%,0
37,Edward Mitchell,26,26,0,6,100.0%,0
12,Elizabeth White,27,27,0,4,100.0%,0
2,Emily Johnson,27,27,0,4,100.0%,0
68,Emma Watson,27,27,0,6,100.0%,0
63,Eric Ward,27,27,0,3,100.0%,0
99,Ethan Reynolds,27,26,1,3,96.3%,0
84,Evelyn Russell,26,26,0,0,100.0%,0
55,Frank Morgan,26,26,0,6,100.0%,0
57,Gary Cooper,27,27,0,5,100.0%,0
33,George Nelson,27,27,0,5,100.0%,0
71,Gregory Price,27,27,0,4,100.0%,0
79,Harold Reyes,26,26,0,6,100.0%,0
66,Heather Richardson,27,27,0,5,100.0%,0
38,Helen Roberts,27,27,0,5,100.0%,0
85,Henry Griffin,27,27,0,4,100.0%,0
89,Jack Ford,26,25,1,5,96.2%,0
60,Jacqueline Bell,26,25,1,2,96.2%,0
11,James Jackson,26,26,0,6,100.0%,0
64,Janet Cox,27,27,0,3,100.0%,0
43,Jason Torres,27,26,1,7,96.3%,0
53,Jeffrey Cook,27,26,1,4,96.3%,0
6,Jennifer Miller,27,27,0,7,100.0%,0
73,Jeremy Barnes,27,25,2,4,92.6%,0
8,Jessica Taylor,27,26,1,7,96.3%,0
86,Joan Diaz,27,27,0,6,100.0%,0
1,John Smith,26,26,0,6,100.0%,0
19,Joseph Clark,27,27,0,2,100.0%,0
76,Judith Coleman,27,27,0,5,100.0%,0
94,Katherine Woods,27,26,1,2,96.3%,0
35,Kenneth Ramirez,27,27,0,10,100.0%,0
45,Kevin Collins,26,26,0,6,100.0%,0
59,Larry Bailey,1,1,0,1,100.0%,0
16,Laura Garcia,27,27,0,7,100.0%,0
26,Linda Young,27,27,0,2,100.0%,0
96,Lori West,25,25,0,2,100.0%,0
30,Margaret Green,26,26,0,4,100.0%,0
100,Marie Fisher,26,26,0,8,100.0%,0
25,Mark Allen,27,27,0,4,100.0%,0
54,Martha Rogers,27,26,1,6,96.3%,0
9,Matthew Anderson,27,26,1,2,96.3%,0
80,Megan Hughes,26,25,1,7,96.2%,0
3,Michael Brown,26,26,0,2,100.0%,0
14,Michelle Martin,27,27,0,4,100.0%,0
32,Nancy Adams,26,26,0,8,100.0%,0
92,Nicole Sullivan,27,27,0,8,100.0%,0
52,Pamela Rivera,26,25,1,0,96.2%,0
24,Patricia Hall,27,27,0,3,100.0%,0
69,Patrick Brooks,27,26,1,4,96.3%,0
31,Paul Baker,27,27,0,2,100.0%,0
72,Rachel Bennett,25,25,0,4,100.0%,0
67,Raymond Wood,27,27,0,10,100.0%,0
22,Rebecca Lee,26,26,0,2,100.0%,0
15,Robert Thompson,26,25,1,7,96.2%,0
41,Ronald Evans,26,25,1,6,96.2%,0
90,Rose Hamilton,26,26,0,4,100.0%,0
46,Ruth Edwards,27,27,0,6,100.0%,0
4,Sarah Davis,27,26,1,4,96.3%,0
61,Scott Kelly,26,24,2,5,92.3%,0
42,Sharon Turner,27,27,0,5,100.0%,0
20,Stephanie Rodriguez,26,25,1,6,96.2%,0
65,Stephen Diaz,27,26,1,3,96.3%,0
51,Steven Murphy,27,27,0,5,100.0%,0
29,Steven Scott,27,27,0,5,100.0%,0
56,Teresa Peterson,27,26,1,3,96.3%,0
21,Thomas Lewis,27,27,0,2,100.0%,0
47,Timothy Stewart,27,27,0,7,100.0%,0
91,Tyler Graham,27,27,0,2,100.0%,0
74,Victoria Fisher,27,27,0,6,100.0%,0
77,Walter Gray,27,27,0,6,100.0%,0
17,William Martinez,27,27,0,4,100.0%,0
83,Zachary Simmons,27,26,1,7,96.3%,0
